playerID,G,AB,R,H,HR,RBI,SB,BB,SO,seasons,BA,OBP,HR_rate,K_rate,inducted
aaronha01,3298,12364,2174,3771,755,2297.0,240.0,1402,1383.0,23,0.30499838240051763,0.3757809094871422,0.06106438045939825,0.11185700420575866,1
abreubo01,2425,8480,1453,2470,288,1363.0,400.0,1476,1840.0,18,0.29127358490566035,0.3963439132181599,0.033962264150943396,0.2169811320754717,0
adamsba01,482,1019,79,216,3,75.0,1.0,53,194.0,19,0.21197252208047104,0.25093283582089554,0.002944062806673209,0.1903827281648675,0
adamsbo03,1281,4019,591,1082,37,303.0,67.0,414,447.0,14,0.2692211993033093,0.337468982630273,0.00920627021647176,0.11122169693953719,0
adamssp01,1424,5557,844,1588,9,394.0,154.0,453,223.0,13,0.2857657009177614,0.3396006655574043,0.0016195789094835343,0.040129566312758685,0
adcocjo01,1959,6606,823,1832,336,1122.0,20.0,594,1059.0,17,0.2773236451710566,0.33694444444444444,0.05086285195277021,0.1603088101725704,0
ageeto01,1129,3912,558,999,130,433.0,167.0,342,918.0,12,0.2553680981595092,0.3152327221438646,0.033231083844580775,0.23466257668711657,0
alexape01,703,1810,154,378,11,163.0,3.0,77,276.0,20,0.20883977900552486,0.24112347641759407,0.0060773480662983425,0.15248618784530388,1
allenbe01,1139,3404,357,815,73,352.0,13.0,370,424.0,12,0.23942420681551116,0.3139904610492846,0.02144535840188014,0.1245593419506463,0
allendi01,1749,6332,1099,1848,351,1119.0,133.0,894,1556.0,15,0.29185091598231205,0.3794630500968724,0.055432722678458626,0.24573594440934934,1
allenne02,1035,3988,677,1140,22,517.0,166.0,334,27.0,24,0.2858575727181545,0.34104581212401663,0.005516549648946841,0.006770310932798395,0
alleyge01,1195,3927,442,999,55,342.0,63.0,300,622.0,11,0.25439266615737205,0.30731014904187365,0.014005602240896359,0.15839062897886427,0
allisdo01,318,1407,236,382,2,139.0,5.0,24,44.0,10,0.27149964463397297,0.283717679944095,0.0014214641080312722,0.03127221037668799,0
alomaro01,2379,9073,1508,2724,210,1134.0,474.0,1032,1140.0,17,0.30023145596825745,0.37169717961405246,0.023145596825746722,0.1256475256254822,1
alomasa02,1377,4530,520,1236,112,588.0,25.0,212,499.0,20,0.2728476821192053,0.30535638970898354,0.024724061810154525,0.11015452538631347,0
